Address,ID(Google),Latitude,Longitude,Name,Price_Level(Google),Rating(Google),Zip
"310 E 5th St, Austin, TX 78701, USA",66d2e8a83366388612a2bd361dc7090df9b6c306,30.26653019999999,-97.74054729999999,Stella San Jac,2.0,4.3,78701
"1610 San Antonio St, Austin, TX 78701, USA",e6c46040968251af0ea75d37185de57fe897f430,30.2799058,-97.7436953,Olamaie,3.0,4.4,78701
"605 Davis St, Austin, TX 78701, USA",61523112ec205741f7679ffad437c1fdd209cb91,30.26016,-97.73927359999999,Geraldine's,2.0,4.3,78701
"312 Barton Springs Rd, Austin, TX 78704, USA",ca1d3a1797df7732dca2b83e0e6f5f4f7106bfb6,30.2589132,-97.748421,Zax Restaurant & Bar,3.0,4.0,78704
"1702 Lavaca St, Austin, TX 78701, USA",6ec7517aa3d5218babcd1b128c3b8fa76512b614,30.2797163,-97.7414012,El Mercado Restaurant,2.0,3.7,78701
"123 W 6th St, Austin, TX 78701, USA",fdf5049ab228ce55c9234ca43b1a7e159b632c0e,30.2682643,-97.7440312,Italic,2.0,4.4,78701
"700 San Jacinto Blvd, Austin, TX 78701, USA",2c43d39b0e99d8f33cae5ed4b99c3c9de50524d4,30.268908,-97.740251,Ancho's,2.0,3.8,78701
"1900 University Ave, Austin, TX 78705, USA",a00ff7482c3f6ef67b3d2dd4af047bf6404247e3,30.2819697,-97.740174,The Carillon,0.0,4.4,78705
"110 E 2nd St, Austin, TX 78701, USA",d4f355a71bbec46a0ba8dbeb10de14d7318ee1b2,30.264129,-97.74303599999999,Osteria Pronto (Austin),1.0,3.9,78701
"1204 W Lynn St, Austin, TX 78703, USA",c788965846671011efb94c299626b90e2b1ba256,30.280423,-97.75911459999999,Jeffrey's,3.0,4.3,78703
"301 E 6th St, Austin, TX 78701, USA",39d0e6d218dc49b50befd04e239dddb50effa737,30.2672274,-97.7403144,Parkside,2.0,4.2,78701
"333 E 2nd St, Austin, TX 78701, USA",17e0b08a6abe62e3e2b61331ed38e4f7e6402423,30.263156,-97.74104609999999,Micheladas Cafe y Cantina,0.0,3.7,78701
"The Austonian, 200 Congress Ave, Austin, TX 78701, USA",09ddde63e420d68e12f55452bc3d82f2e3170eac,30.264543,-97.74434199999999,Second Bar + Kitchen,3.0,4.3,78701
"1601 Guadalupe St, Austin, TX 78701, USA",9b35fe7a6b7d9189e6f0bae906fbbe789260648b,30.278937,-97.74244010000001,The Clay Pit,2.0,4.1,78701
"718 Red River St, Austin, TX 78701, USA",1a040c84e73e50fbcf868207f2aeedbde715a780,30.2682088,-97.73669079999999,Hoboken Pie,3.0,3.8,78701
"400 W 2nd St A, Austin, TX 78701, USA",ffab7047c04b87704769763a2aab4a7af70533eb,30.2656084,-97.7478026,La Condesa,3.0,4.0,78701
"616 Nueces St, Austin, TX 78701, USA",160f0de825c3af588a113339d8e338e279aed63b,30.270471,-97.74840209999999,Ranch 616,0.0,4.2,78701
"500 E 4th St, Austin, TX 78701, USA",ecc22bc448a419d258eb4c9cec84fa8007aea959,30.2651646,-97.7380912,Austin Taco Project,2.0,3.9,78701
"315 Congress Ave, Austin, TX 78701, USA",d8b23348dfe97fcd7a9033c5685ecc75b956c508,30.265609,-97.74307069999999,Swift's Attic,0.0,4.4,78701
"117 W 4th St Suite 300, Austin, TX 78701, USA",20cafa3d255f601c3614ebcf281e0526a943e3cd,30.266248,-97.74458899999999,RA Sushi Bar Restaurant,0.0,4.1,78701
"117 W 4th St, Austin, TX 78701, USA",61efeb0c97519952904586a6e8ed2cb5afe70ec4,30.266242,-97.744574,The Capital Grille,2.0,4.5,78701
"1110 W 6th St, Austin, TX 78703, USA",34ff2538385f0def97a86cf4f1d8643dc5b9fac2,30.2726058,-97.7560511,Z'Tejas,0.0,4.0,78703
"1014 N Lamar Blvd, Austin, TX 78703, USA",7f1ae4798e54595a4dd1cc20e9c5baa1a544b1eb,30.2757662,-97.7524833,Wink,3.0,4.3,78703
"801 South Lamar￼ ￼Boulevard, Austin, TX 78704, USA",d406336bcb87fa68ff9203fcda2821759b1ead61,30.2575138,-97.75977130000001,Uchi,3.0,4.6,78704
"500 E 4th St, Austin, TX 78701, USA",64a7ad68b79f66c8cbbe13a62803a06753582d48,30.2651799,-97.73825339999999,Cannon and Belle,2.0,3.4,78701
"507 San Jacinto Blvd, Austin, TX 78701, USA",b8cddd35a19efe9c4fd91390241b23409c4cc71f,30.2670094,-97.7404066,The Backspace,2.0,4.4,78701
"908 Congress Ave, Austin, TX 78701, USA",c9b6ae65b232292ebd349d5bc46c1c0c99ad0530,30.2713274,-97.7419508,Quattro Gatti,0.0,4.3,78701
"1014 W 6th St, Austin, TX 78703, USA",8a9b040aa7ede60dad42aec0b2477ccc65a3bb18,30.271917,-97.754565,Snap Kitchen,2.0,4.2,78703
"801 Red River St, Austin, TX 78701, USA",4d0f1d7f90a5f6096878096c49cf149e28c883e8,30.2685007,-97.7362579,Stubb's Bar-B-Q,2.0,4.0,78701
"114 W 7th St, Austin, TX 78701, USA",de2856b90c81aeefef8fb628b10ba9e9b50d69c3,30.2694118,-97.7435282,Perry's Steakhouse & Grille,0.0,4.6,78701
"35 Brazos St, Austin, TX 78701, USA",d575c9f8f1d0e8013d6df0086f68474ceb2d88b0,30.2623727,-97.74344649999999,Forthright,1.0,4.4,78701
"Colorado Tower, 303 Colorado St #200, Austin, TX 78701, USA",5b6235aa1689ce2846d2b98fa8332e47f816fd5b,30.26588109999999,-97.7447115,Red Ash,2.0,4.5,78701
"500 W 5th St, Austin, TX 78701, USA",34087137d8d81e45d1564f32f483f57fd84a4971,30.2687949,-97.74854909999999,Fixe,3.0,4.5,78701
"221 W 6th St, Austin, TX 78701, USA",542847bb8f6813b6c476a8dc23fa813405a91735,30.2682688,-97.74498,Thistle Cafe,2.0,4.7,78701
"201 San Jacinto Blvd, Austin, TX 78701, USA",7c34c2814c66dc33534adbeb4e64ae7117ec7501,30.263855,-97.7415953,P.F. Chang's,2.0,4.0,78701
"452 W 2nd St, Austin, TX 78701, USA",65514502a83230bfbbb7a8623b2369e34bf58e1b,30.2656651,-97.7484592,Numero28,2.0,4.3,78701
"621 E 7th St, Austin, TX 78701, USA",d479959d6701de2bd04e296fdad9741c36579340,30.2670064,-97.7359845,Koriente,1.0,4.4,78701
"1209 E 7th St, Austin, TX 78702, USA",42cd9479213713772c1537e20df1d2025107a6b3,30.264833,-97.72947699999999,The Hightower,1.0,4.5,78702
"2500 E 6th St, Austin, TX 78702, USA",11255f4bdf8438bda2e1e611639d8214492ece77,30.2591636,-97.7143466,DEE DEE - Northern Thai Street Food,1.0,4.8,78702
"3235 E Cesar Chavez St, Austin, TX 78702, USA",efc94febad66c990e926b020753be47344de2de1,30.2515023,-97.7073657,Jacoby's Restaurant & Mercantile,3.0,4.4,78702
"1410 E 6th St, Austin, TX 78702, USA",4db4b763eb6fd1f5eabe22d42044ede45096bac8,30.26376119999999,-97.7276995,Revelry Kitchen + Bar,2.0,4.5,78702
"1403 E 7th St, Austin, TX 78702, USA",422fb65b196c4700aafd1eb1836b7a05477aaac7,30.2642462,-97.72796179999999,Boteco,0.0,4.8,78702
"2612 E Cesar Chavez St, Austin, TX 78702, USA",7d032228d8b7d20451348b0f120f08e0ab247a6e,30.253668,-97.7144123,Intero Restaurant,0.0,4.8,78702
"3518 E 7th St, Austin, TX 78702, USA",343b4bf08e0841aafabaa034b5ddc1c2025c6abe,30.256849,-97.70234099999999,Beto's Restaurants,0.0,4.4,78702
"2708 E Cesar Chavez St, Austin, TX 78702, USA",7fd2530d57b52e502706113bd3c1585a49b20879,30.2534352,-97.7135315,Pitchfork Pretty,2.0,4.6,78702
"2713 E 2nd St, Austin, TX 78702, USA",1fbb26544dca31c8bc3d267c62334da9474b217f,30.253838,-97.712949,Kemuri Tatsu-Ya,2.0,4.5,78702
"1211 E 6th St, Austin, TX 78702, USA",6f258b1778299252d9f02d4266baee25da95177f,30.263926,-97.729894,Aimee's Super Fantazmo Food Club,0.0,4.7,78702
"1601 S IH 35 Frontage Rd, Austin, TX 78702, USA",c1d29489c12222bb77f05b38f5e7566a7adc346a,30.2767263,-97.72965599999999,Denny's,1.0,3.7,78702
"619 N Interstate Hwy 35, Austin, TX 78702, USA",a290e11c279e2296347bb9647f65cbc08ea54c85,30.2661954,-97.73359889999999,Wendy's,1.0,3.1,78702
"2136 E 7th St, Austin, TX 78702, USA",c574e4e999f8d0f1dfd591cb350a0a46dafd8302,30.2618563,-97.71828180000001,Los Comales,2.0,3.9,78702
"1115 E 11th St, Austin, TX 78702, USA",01779708fb644f5d4bbd8b43bbd47bd16cbaff18,30.2688493,-97.7287307,Blue Dahlia Bistro,2.0,4.6,78702
"1401 Rosewood Ave, Austin, TX 78702, USA",e69061e4d99d03a26bc1738eac42af1f5b169197,30.268771,-97.72406749999999,East Side Pies,1.0,4.3,78702
"2702 E Cesar Chavez St, Austin, TX 78702, USA",509be46d38d5c03d9a865b1edca6f51952295bcd,30.2535723,-97.7139078,Southside Flying Pizza,0.0,3.8,78702
"1000 E 11th St, Austin, TX 78702, USA",16e0adc337729528dc766fa0acc1160809c816a2,30.26961009999999,-97.7297763,Old Thousand,2.0,4.5,78702
"2409 E 7th St, Austin, TX 78702, USA",2178c39c52803d855158df15dd67b08ff36db872,30.260855,-97.71466,Casa Colombia,2.0,4.4,78702
"1411 E 7th St, Austin, TX 78702, USA",d7f2901695579285a0193d399eb1785db6b9b137,30.264114,-97.727381,Takoba,2.0,4.1,78702
"4827 E Cesar Chavez St, Austin, TX 78702, USA",86f00d1d152ca1a6d5a068ecb4bc707ecd483ac1,30.2513822,-97.7018169,Sawyer & Co,2.0,4.4,78702
"105 Tillery St, Austin, TX 78702, USA",b51f70ae72c96364d40b9845b25b1ea0a63959c9,30.2521629,-97.708226,Grizzelda's,2.0,4.2,78702
"2101 E Cesar Chavez St, Austin, TX 78702, USA",d4f8c333a97904df55936528d3130cdbe32d9592,30.25608,-97.72190979999999,Taqueria Chapala,2.0,4.2,78702
"2121 E 6th St, Austin, TX 78702, USA",6059adc6a8960d64a5c3c0ce27a4dca441027ec8,30.26017,-97.71892439999999,Hi Hat Public House,0.0,4.6,78702
"2706 Gonzales St, Austin, TX 78702, USA",a5d0f7004b28c31aa72e109a4ef1448826c2558f,30.2609055,-97.71022980000001,Sonic Drive-In,1.0,3.3,78702
"1007 E 6th St, Austin, TX 78702, USA",612812d5cb9a1a8f96b1c0ca92cfdc63202a189b,30.2648972,-97.732286,Spartan Pizza,1.0,4.3,78702
