Address,ID(Google),Name,Price_Level(Google),Rating(Google),Zip
"12681 Old 2243 W, Leander, TX 78641, USA",c13d3faef58df96b42eff510189d9a2028e255cd,Sharks Burger,,4.7,78641
"1913 S Hwy 183, Leander, TX 78641, USA",701e384dba413129f268aa641f6688819f41a7d2,Bella Sera of Leander,,4.6,78641
"11940 Hero Way West, Leander, TX 78641, USA",fc3495ae812f359c2b77b6aebca445312e41356c,Taco Bell,,3.4,78641
"1545 US-183, Leander, TX 78641, USA",4120bfffa5a1a13f4e568e3942e44641cbebd064,Taco Bell,1.0,3.5,78641
"1105 US-183, Leander, TX 78641, USA",f4de0ae4cdaa85a3a33692903c3073d3a8d3c60f,Chicken Express,1.0,3.5,78641
"2800 S Bagdad Rd A, Leander, TX 78641, USA",2966b5949787d0e9684044a73dbf744bd5bb0e2a,SUBWAY®Restaurants,1.0,3.8,78641
"1395 US-183, Leander, TX 78641, USA",00d29a6bbd5182460daaca6e2bfd4d3cbcd4df00,Pizza Hut,1.0,3.0,78641
"11880 Old 2243 West, Leander, TX 78641, USA",b11810a5c72ac8b9ed1f7a76299832ea43640849,Smokey Mo's BBQ,2.0,4.1,78641
"3550 Lakeline Blvd, Leander, TX 78641, USA",20617ad377fc1583bd3527fa796288893ab3bc54,Brooklyn Heights Pizzeria,,4.2,78641
"651 N Highway #107, Leander, TX 78641, USA",1894a6c90c853cf69e7deaee59d074489688ccf0,AJ's Pizzeria,2.0,4.3,78641
"901 S. US 183, Leander, TX 78641, United States",87e3f67ffae333bce080005d542f578fc2c72c94,Golden Chick,,4.4,78641
"1913 US-183, Leander, TX 78641, USA",d1190a375964e185a41e37231aafd489ccdadc35,Southern's Pizza & Sports Pub,,4.6,78641
"651 US-183 #245, Leander, TX 78641, USA",6b7e9235dd3b66517603a3cacd84ceb12c047507,SUBWAY®Restaurants,1.0,3.3,78641
"3550 Lakeline Blvd #100, Leander, TX 78641, USA",760c6eddfbdb6e25639f6fe3a481478b4fee0131,Umiya Leander,,4.7,78641
"809 S Us Highway 183, Leander, TX 78641, United States",38bfd43f4feaa6c7575b0c702c0b2e4b8cf1039a,Sonic Drive-In,1.0,3.3,78641
"1445 US Hwy 183 S, Leander, TX 78641, United States",3e8b700935518ea93c27c1cc71f9d985f0024818,McDonald's,1.0,3.2,78641
"651 North US Highway 183, Suite 225, Leander, TX 78641, United States",68b3b6f34aa451a8e03726830130618133ee8424,Papa Murphy's Take 'N' Bake Pizza,1.0,3.6,78641
"1395 US-183, Leander, TX 78641, USA",1650eb48b33e5593ba7bf53c6a1060a8d9a6f9a1,Wing Street,1.0,,78641
"15609 Ronald Reagan Blvd Bldg B230, Leander, TX 78641, USA",a1979a1a31d2fd82f7af7f3fe96aaa056c3c9976,Woks It 2 U,,4.4,78641
